author_year,study,cluster,group,case,phase,session,outcome,B1,T1,B2,T2,T3,T4,P,M1,G1
Dennis et al. (2016),2,1,1,1,Intervention 1,19,80,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Baseline 2,21,0,0,0,1,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Baseline 2,22,0,0,0,1,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Baseline 2,23,0,0,0,1,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 2,24,20,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 2,25,38,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 2,26,92,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 2,27,92,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 2,28,100,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 2,29,80,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 2,30,90,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Baseline 1,1,12,1,0,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Baseline 1,2,0,1,0,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Baseline 1,3,0,1,0,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 1,4,0,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 1,5,0,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 1,6,15,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 1,7,0,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 1,8,0,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 1,9,5,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 1,10,19,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 1,11,19,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 1,12,18,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 1,13,15,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 1,14,0,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 1,15,0,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 1,16,49,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 1,17,52,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 1,18,80,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 1,19,100,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Baseline 2,21,0,0,0,1,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Baseline 2,22,0,0,0,1,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Baseline 2,23,0,0,0,1,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 2,24,23,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 2,25,89,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 2,26,30,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 2,27,91,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 2,28,79,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 2,29,90,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,2,Intervention 2,30,86,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Baseline 1,1,10,1,0,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Baseline 1,2,10,1,0,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Baseline 1,3,0,1,0,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 1,4,0,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 1,5,0,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 1,6,18,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 1,7,0,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 1,8,9,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 1,9,18,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 1,10,24,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 1,11,30,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 1,12,27,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 1,13,48,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 1,14,35,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 1,15,20,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 1,16,48,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 1,17,50,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 1,18,88,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 1,19,93,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Baseline 2,21,0,0,0,1,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Baseline 2,22,8,0,0,1,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Baseline 2,23,5,0,0,1,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 2,24,30,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 2,25,57,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 2,26,45,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 2,27,73,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 2,28,80,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 2,29,100,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,3,Intervention 2,30,100,0,0,0,1,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,1,Baseline 1,1,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,1,Baseline 1,2,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,1,Baseline 1,3,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,1,Baseline 1,4,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,1,Baseline 1,5,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,1,Generalization,6,0,0,0,0,0,0,0,0,0,1
Freeman-Green et al. (2015),3,1,1,1,Intervention 1,7,74,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,1,Intervention 1,8,80,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,1,Intervention 1,9,70,0,1,0,0,0,0,0,0,0
